Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1982,56.46,"Louisville, KY",,,,,,
,,,,,,,,
1982,66.1675,"Memphis, TN",659913,7609,122,713,2370,4404
,,,,,,,,
1982,69.4825,"Miami, FL",365506,9963,190,349,4301,5123
,,,,,,,,
1982,55.0825,"Milwaukee, WI",645231,3593,62,194,1250,2087
,,,,,,,,
1982,66.505,"Minneapolis, MN",376704,4247,36,314,1314,2583
,,,,,,,,
1982,58.6675,"Nashville, TN",462507,3248,67,321,1198,1662
,,,,,,,,
1982,45.8725,"Newark, NJ",334414,10704,117,489,3705,6393
,,,,,,,,
1982,54.8725,"Oakland, CA",355868,6609,94,441,2880,3194
,,,,,,,,
1982,68.5575,"Omaha, NE",324936,2450,20,175,1512,743
,,,,,,,,
1982,75.11,"Orlando, FL",139152,2662,34,160,1659,809
,,,,,,,,
1982,49.585,"Philadelphia, PA",1687556,17511,332,839,5736,10604
,,,,,,,,
1982,74.67,"Mesa, AZ",157634,705,3,40,533,129
,,,,,,,,
1982,74.67,"Phoenix, AZ",814054,5431,95,431,2503,2402
,,,,,,,,
1982,57.8575,"Pittsburgh, PA",425814,5391,51,236,1263,3841
,,,,,,,,
1982,50.7975,"Portland, OR",369796,6484,36,392,3245,2811
,,,,,,,,
1982,55.6675,"Raleigh, NC",152882,886,20,62,482,322
,,,,,,,,
1982,63.22,"Sacramento, CA",288446,2988,43,191,1211,1543
,,,,,,,,
1982,48.4725,"Seattle, WA",507643,5120,31,435,2383,2271
,,,,,,,,
1982,74.835,"Tampa, FL",292551,5736,59,411,3424,1842
,,,,,,,,
1982,60.2175,"Tucson, AZ",349165,2925,31,236,1748,910
,,,,,,,,
1982,95.8975,"Tulsa, OK",376599,2704,31,228,1395,1050
,,,,,,,,
1982,53.7125,"Washington, DC",631000,13397,194,421,3645,9137
,,,,,,,,
1982,80.5825,"Wichita, KS",285665,1695,31,197,790,677
,,,,,,,,
1983,63.61,"Albuquerque, NM",355163,2954,24,206,1815,909
,,,,,,,,
1983,67.5475,"Atlanta, GA",448635,9326,141,619,5014,3552
,,,,,,,,
1983,78.9225,"Austin, TX",381091,1534,58,240,571,665
,,,,,,,,
1983,56.555,"Baltimore, MD",805527,16132,201,497,6267,9167
,,,,,,,,
